Ldm, 05:47:15,817 	 INFO  	 METRIC_CAM_RECV 8 3461996 		
Ldm, 05:47:16,296 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:16,296 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:16,296 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:16,297 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:16,534 	 DEBUG 	 camInfo received 		
Ldm, 05:47:16,534 	 DEBUG 	 CAM received 		
Ldm, 05:47:16,534 	 INFO  	 METRIC_CAM_RECV 9 3462713 		
Ldm, 05:47:17,151 	 DEBUG 	 camInfo received 		
Ldm, 05:47:17,153 	 DEBUG 	 CAM received 		
Ldm, 05:47:17,153 	 INFO  	 METRIC_CAM_RECV 10 3463332 		
Ldm, 05:47:17,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:17,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:17,293 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:17,293 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:17,558 	 DEBUG 	 camInfo received 		
Ldm, 05:47:17,559 	 DEBUG 	 CAM received 		
Ldm, 05:47:17,559 	 INFO  	 METRIC_CAM_RECV 11 3463737 		
Ldm, 05:47:18,283 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:18,283 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:18,283 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:18,284 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:18,609 	 DEBUG 	 camInfo received 		
Ldm, 05:47:18,609 	 DEBUG 	 CAM received 		
Ldm, 05:47:18,609 	 INFO  	 METRIC_CAM_RECV 12 3464787 		
Ldm, 05:47:19,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:19,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:19,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:19,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:19,618 	 DEBUG 	 camInfo received 		
Ldm, 05:47:19,619 	 DEBUG 	 CAM received 		
Ldm, 05:47:19,619 	 INFO  	 METRIC_CAM_RECV 13 3465797 		
Ldm, 05:47:20,283 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:20,283 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:20,284 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:20,284 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:20,626 	 DEBUG 	 CAM received 		
Ldm, 05:47:20,628 	 INFO  	 METRIC_CAM_RECV 14 3466807 		
Ldm, 05:47:20,628 	 DEBUG 	 camInfo received 		
Ldm, 05:47:21,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:21,291 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:21,291 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:21,291 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:21,637 	 DEBUG 	 camInfo received 		
Ldm, 05:47:21,638 	 DEBUG 	 CAM received 		
Ldm, 05:47:21,638 	 INFO  	 METRIC_CAM_RECV 15 3467816 		
Ldm, 05:47:22,285 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:22,285 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:22,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:22,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:22,655 	 DEBUG 	 CAM received 		
Ldm, 05:47:22,655 	 INFO  	 METRIC_CAM_RECV 16 3468833 		
Ldm, 05:47:22,655 	 DEBUG 	 camInfo received 		
Ldm, 05:47:23,284 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:23,285 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:23,285 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:23,285 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:23,671 	 DEBUG 	 camInfo received 		
Ldm, 05:47:23,671 	 DEBUG 	 CAM received 		
Ldm, 05:47:23,671 	 INFO  	 METRIC_CAM_RECV 17 3469850 		
Ldm, 05:47:24,289 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:24,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:24,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:24,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:24,690 	 DEBUG 	 CAM received 		
Ldm, 05:47:24,690 	 INFO  	 METRIC_CAM_RECV 18 3470869 		
Ldm, 05:47:24,690 	 DEBUG 	 camInfo received 		
Ldm, 05:47:25,283 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:25,284 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:25,284 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:25,284 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:25,726 	 DEBUG 	 CAM received 		
Ldm, 05:47:25,726 	 INFO  	 METRIC_CAM_RECV 19 3471905 		
Ldm, 05:47:25,726 	 DEBUG 	 camInfo received 		
Ldm, 05:47:26,286 	 DEBUG 	 dccInfo received 		
