Ldm, 06:17:41,776 	 INFO  	 METRIC_CAM_RECV 5 5287954 		
Ldm, 06:17:42,406 	 DEBUG 	 camInfo received 		
Ldm, 06:17:42,406 	 DEBUG 	 CAM received 		
Ldm, 06:17:42,406 	 INFO  	 METRIC_CAM_RECV 6 5288585 		
Ldm, 06:17:43,083 	 DEBUG 	 CAM received 		
Ldm, 06:17:43,083 	 DEBUG 	 camInfo received 		
Ldm, 06:17:43,083 	 INFO  	 METRIC_CAM_RECV 7 5289262 		
Ldm, 06:17:44,131 	 DEBUG 	 camInfo received 		
Ldm, 06:17:44,131 	 DEBUG 	 CAM received 		
Ldm, 06:17:44,131 	 INFO  	 METRIC_CAM_RECV 8 5290310 		
Ldm, 06:17:45,189 	 DEBUG 	 camInfo received 		
Ldm, 06:17:45,190 	 DEBUG 	 CAM received 		
Ldm, 06:17:45,190 	 INFO  	 METRIC_CAM_RECV 9 5291368 		
Ldm, 06:17:46,261 	 DEBUG 	 camInfo received 		
Ldm, 06:17:46,262 	 DEBUG 	 CAM received 		
Ldm, 06:17:46,262 	 INFO  	 METRIC_CAM_RECV 10 5292440 		
Ldm, 06:17:47,363 	 DEBUG 	 camInfo received 		
Ldm, 06:17:47,366 	 DEBUG 	 CAM received 		
Ldm, 06:17:47,366 	 INFO  	 METRIC_CAM_RECV 11 5293545 		
Ldm, 06:17:48,398 	 DEBUG 	 camInfo received 		
Ldm, 06:17:48,398 	 DEBUG 	 CAM received 		
Ldm, 06:17:48,398 	 INFO  	 METRIC_CAM_RECV 12 5294577 		
Ldm, 06:17:49,488 	 DEBUG 	 camInfo received 		
Ldm, 06:17:49,488 	 DEBUG 	 CAM received 		
Ldm, 06:17:49,488 	 INFO  	 METRIC_CAM_RECV 13 5295667 		
Ldm, 06:17:50,576 	 DEBUG 	 camInfo received 		
Ldm, 06:17:50,577 	 DEBUG 	 CAM received 		
Ldm, 06:17:50,577 	 INFO  	 METRIC_CAM_RECV 14 5296755 		
